title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
平安里,116.37934,39.93975,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295172.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西四路口东,116.38164,39.93026,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289868.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
大红罗厂西口,116.37969,39.93463,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289008.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安定门东站,116.41686,39.95619,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289962.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
灯市东口,116.4241,39.92541,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289900.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
钟楼北桥北,116.40176,39.95849,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289776.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
护国寺,116.3793,39.94298,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289153.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
国子监,116.42306,39.95313,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288997.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
锡拉胡同,116.41318,39.91948,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289531.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
平安里路口西,116.3785,39.9385,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289840.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
灯市口,116.42415,39.92487,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295194.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安定门外,116.41395,39.95783,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289245.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四十条,116.43141,39.93972,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289934.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西四丁字街,116.38152,39.92857,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289371.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
德胜门南站,116.3872,39.95423,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288849.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
