title,longitude,latitude,coord_type,type2,weight2,url,ak,geotable_id
新笑声客栈,116.3863799,39.95460596,3,2,4,http://bj.bendibao.com/jingdian/xinxiaoshengkezhan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
九道弯胡同,116.411112,39.959523,3,2,0,http://bj.bendibao.com/jingdian/jiudaowanhutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
安外清真寺,116.412008,39.95953,3,2,7,http://bj.bendibao.com/jingdian/anwaiqingzhensi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
中山公园,116.40055,39.917255,3,0,6,http://bj.bendibao.com/jingdian/beijingzhongshangongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
社稷坛,116.401323,39.917084,3,2,9,http://bj.bendibao.com/jingdian/shejitan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
万松老人塔,116.379852,39.92813,3,3,3,http://bj.bendibao.com/jingdian/wansonglaorenta/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
中国地质博物馆,116.378748,39.929783,3,1,7,http://bj.bendibao.com/jingdian/zhongguodizhibowuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
孚王府,116.431362,39.930786,3,3,3,http://bj.bendibao.com/jingdian/fuwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
孚郡王府,116.43137,39.930786,3,1,0,http://bj.bendibao.com/jingdian/fujunwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
定亲王府,116.380023,39.92757,3,2,9,http://bj.bendibao.com/jingdian/dingqinwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
东四十条外贸一条街,116.43377,39.939672,3,1,10,http://bj.bendibao.com/jingdian/dongsishitiaowaimaoyitiaojie/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
缸瓦市堂,116.379713,39.927328,3,0,4,http://bj.bendibao.com/jingdian/gangwashitang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
新街口,116.377528,39.947439,3,2,5,http://bj.bendibao.com/jingdian/xinjiekou/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
德胜门箭楼,116.385923,39.956193,3,0,8,http://bj.bendibao.com/jingdian/deshengmenjianlou/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
青年湖公园,116.408582,39.961375,3,0,0,http://bj.bendibao.com/jingdian/qingnianhugongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
古代钱币纪念馆,116.385689,39.956372,3,3,1,http://bj.bendibao.com/jingdian/gudaiqianbijinianguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
