title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id,poiID
"灯市口",116.42415,39.92487,19,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295194.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138721
"安定门外",116.41395,39.95783,42,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289245.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138738
"东四十条",116.43141,39.93972,18,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289934.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138752
"西四丁字街",116.38152,39.92857,46,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289371.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138774
"德胜门南站",116.3872,39.95423,21,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288849.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138783
"西四路口北",116.37988,39.93068,44,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289019.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138792
"后九条",116.39394,39.95771,20,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289242.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138811
"地坛西门",116.4146,39.95808,15,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289092.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138822
"雍和宫",116.42308,39.95406,41,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288996.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138833
"西四",116.37995,39.93004,14,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295173.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138844
"新街口南",116.37923,39.94609,40,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289152.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138859
